# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: /home/aluno/Welton_PBL1_CD/PBL1_CD_Alternativo-main/output_files/PBL1_CD_pinagem.csv
# Generated on: Mon Aug 31 11:04:40 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
cout,Output,PIN_A9,7,B7_N0,PIN_A9,3.3-V LVTTL,,,,,
display0[6],Output,PIN_C14,7,B7_N0,PIN_C14,3.3-V LVTTL,,,,,
display0[5],Output,PIN_E15,7,B7_N0,PIN_E15,3.3-V LVTTL,,,,,
display0[4],Output,PIN_C15,7,B7_N0,PIN_C15,3.3-V LVTTL,,,,,
display0[3],Output,PIN_C16,7,B7_N0,PIN_C16,3.3-V LVTTL,,,,,
display0[2],Output,PIN_E16,7,B7_N0,PIN_E16,3.3-V LVTTL,,,,,
display0[1],Output,PIN_D17,7,B7_N0,PIN_D17,3.3-V LVTTL,,,,,
display0[0],Output,PIN_C17,7,B7_N0,PIN_C17,3.3-V LVTTL,,,,,
display1[6],Output,PIN_C18,7,B7_N0,PIN_C18,3.3-V LVTTL,,,,,
display1[5],Output,PIN_D18,6,B6_N0,PIN_D18,3.3-V LVTTL,,,,,
display1[4],Output,PIN_E18,6,B6_N0,PIN_E18,3.3-V LVTTL,,,,,
display1[3],Output,PIN_B16,7,B7_N0,PIN_B16,3.3-V LVTTL,,,,,
